Date,Who,Daily Ah,Float time mins,logged
25-Jun-19,NP&JH,206,0,-1
24-Jun-19,NP&JH,219,0,-2
23-Jun-19,NP&JH,129,0,-3
22-Jun-19,NP&JH,136,0,-4
21-Jun-19,NP&JH,108,0,-5
20-Jun-19,NP&JH,211,0,-6
19-Jun-19,NP&JH,124,0,-7
18-Jun-19,NP&JH,249,0,-8
17-Jun-19,NP&JH,80,0,-9
16-Jun-19,NP&JH,219,0,-10
15-Jun-19,NP&JH,190,0,-11
14-Jun-19,NP&JH,199,0,-12
13-Jun-19,NP&JH,112,0,-13
12-Jun-19,NP&JH,179,0,-14
11-Jun-19,NP&JH,232,0,-15
10-Jun-19,NP&JH,93,0,-16
9-Jun-19,NP&JH,98,0,-17
8-Jun-19,NP&JH,108,154,-18
7-Jun-19,NP&JH,202,0,-19
6-Jun-19,NP&JH,97,0,-20
5-Jun-19,NP&JH,150,0,-21
4-Jun-19,NP&JH,192,0,-22
3-Jun-19,NP&JH,166,0,-23
2-Jun-19,NP&JH,100,0,-24
1-Jun-19,NP&JH,65,5,-25
31-May-19,NP&JH,232,0,-26
30-May-19,NP&JH,244,0,-27
29-May-19,NP&JH,187,0,-28
28-May-19,NP&JH,255,0,-29
27-May-19,NP&JH,198,0,-30
26-May-19,NP&JH,242,0,-31
25-May-19,NP&JH,195,0,-32
24-May-19,NP&JH,52,0,-33
23-May-19,NP&JH,84,0,-34
22-May-19,NP&JH,132,0,-35
21-May-19,NP&JH,139,0,-36
20-May-19,NP&JH,31,0,-37
19-May-19,NP&JH,218,0,-38
18-May-19,NP&JH,169,0,-39
17-May-19,NP&JH,112,0,-40
16-May-19,NP&JH,83,0,-41
15-May-19,NP&JH,195,0,-42
14-May-19,NP&JH,68,0,-43
13-May-19,NP&JH,112,0,-44
12-May-19,NP&JH,204,0,-45
11-May-19,NP&JH,55,0,-46
10-May-19,NP&JH,250,0,-47
9-May-19,NP&JH,122,234,-48
8-May-19,NP&JH,193,0,-49
7-May-19,NP&JH,145,0,-50
6-May-19,NP&JH,128,0,-51
5-May-19,NP&JH,226,0,-52
4-May-19,NP&JH,169,0,-53
3-May-19,NP&JH,162,0,-54
2-May-19,NP&JH,69,0,-55
1-May-19,NP&JH,121,0,-56
30-Apr-19,NP&JH,108,276,-57
29-Apr-19,NP&JH,252,0,-58
28-Apr-19,NP&JH,256,0,-59
27-Apr-19,NP&JH,80,148,-60
26-Apr-19,NP&JH,120,0,-61
25-Apr-19,NP&JH,104,223,-62
24-Apr-19,NP&JH,249,0,-63
23-Apr-19,NP&JH,200,0,-64
11-Apr-19,NP,77,0,-1
10-Apr-19,NP,130,0,-2
9-Apr-19,NP,108,0,-3
8-Apr-19,NP,192,0,-4
7-Apr-19,NP,133,0,-5
6-Apr-19,NP,0,0,-6
5-Apr-19,NP,69,0,-7
4-Apr-19,NP,67,0,-8
3-Apr-19,NP,25,0,-9
2-Apr-19,NP,151,0,-10
1-Apr-19,NP,214,0,-11
31-Mar-19,NP,224,0,-12
30-Mar-19,NP,235,0,-13
29-Mar-19,NP,236,0,-14
28-Mar-19,NP,184,0,-15
27-Mar-19,NP,223,0,-16
26-Mar-19,NP,96,0,-17
25-Mar-19,NP,130,0,-18
24-Mar-19,NP,146,0,-19
23-Mar-19,NP,142,0,-20
22-Mar-19,NP,120,0,-21
21-Mar-19,NP,157,0,-22
20-Mar-19,NP,196,0,-23
19-Mar-19,NP,195,0,-24
18-Mar-19,NP,196,0,-25
17-Mar-19,NP,182,0,-26
16-Mar-19,NP,39,0,-27
15-Mar-19,NP,120,0,-28
14-Mar-19,NP,27,0,-29
13-Mar-19,NP,146,0,-30
12-Mar-19,NP,87,0,-31
11-Mar-19,NP,10,0,-32
10-Mar-19,NP,83,0,-33
9-Mar-19,NP,186,0,-34
8-Mar-19,NP,179,0,-35
7-Mar-19,NP,76,0,-36
6-Mar-19,NP,148,0,-37
5-Mar-19,NP,168,39,-38
4-Mar-19,NP,81,269,-39
3-Mar-19,NP,20,0,-40
2-Mar-19,NP,176,0,-41
1-Mar-19,NP,155,0,-42
28-Feb-19,NP,116,0,-43
27-Feb-19,NP,75,0,-44
26-Feb-19,NP,172,0,-45
25-Feb-19,NP,169,0,-46
24-Feb-19,NP,162,0,-47
23-Feb-19,NP,138,0,-48
22-Feb-19,NP,39,0,-49
21-Feb-19,NP,40,50,-50
20-Feb-19,NP,131,0,-51
19-Feb-19,NP,16,0,-52
18-Feb-19,NP,36,0,-53
17-Feb-19,NP,53,115,-54
16-Feb-19,NP,48,0,-55
15-Feb-19,NP,27,0,-56
14-Feb-19,NP,37,0,-57
13-Feb-19,NP,88,0,-58
12-Feb-19,NP,26,0,-59
11-Feb-19,NP,98,0,-60
10-Feb-19,NP,48,0,-61
9-Feb-19,NP,95,0,-62
8-Feb-19,NP,76,0,-63
7-Feb-19,NP,45,0,-64
